,Country Name,Country Code,2018 GDP ($MM USD),JH Deaths,JH Confirmed,JH Recovered,Area (mi2),Population,Population Density (mi2),Lat,Lng
95,Luxembourg,LUX,70920.0,124,7284,6561,998,613894,615,49.76685560000001,6.072231929
96,Madagascar,MDG,13853.0,214,15803,14452,226658,25680342,113,-19.37367857,46.70582366
97,Malawi,MWI,6917.0,178,5701,3762,45747,17563749,384,-13.217136800000002,34.28996851
98,Malaysia,MYS,359000.0,128,9969,9209,127724,32686160,256,3.792225225,109.69858300000001
99,Maldives,MDV,5327.0,33,9328,7729,115,374775,3257,3.864420477,73.30856602
100,Mali,MLI,17172.0,128,2940,2302,482077,19107706,40,17.34464505,-3.539432156
101,Malta,MLT,14604.0,16,2454,1931,122,514564,4231,35.92008111,14.40438404
102,Mauritania,MRT,7049.0,162,7326,6841,397955,3984233,10.0,20.25679092,-10.34353534
103,Mauritius,MUS,14182.0,10,365,338,788,1265577,1607,-20.18580754,57.85025537
104,Mexico,MEX,1220000.0,77344,730833,606871,759516,126577691,167,23.94892365,-102.5303637
105,Moldova,MDA,11457.0,1143,43734,32293,13067,2681735,205,47.19506781,28.46115246
106,Monaco,MCO,7188.0,1,178,133,0.78,38300,49107,43.73889412,7.399399805
107,Mongolia,MNG,13109.0,0,311,301,603902,3238479,5.4,46.8257749,103.055991
108,Montenegro,MNE,5507.0,123,7061,4692,5333,622182,117,42.78569629,19.23871376
109,Morocco,MAR,118000.0,1648,90324,71047,172414,36018705,209,29.84174756,-8.396407018
110,Mozambique,MOZ,14717.0,37,5713,3181,308642,28571310,93,-17.26944074,35.53810453
111,Myanmar,MMR,76168.0,39,3636,832,261228,54339766,208,21.16838056,96.48928394
112,Namibia,NAM,13454.0,106,9901,7358,318580,2413643,7.6,-22.12843359,17.21133356
113,Nepal,NPL,29174.0,371,56788,40638,56956,29609623,520,28.24794399,83.91624724
114,Netherlands,NLD,914000.0,12437,140024,2146,16033,17509831,1092,52.07241686,5.221591771
115,New Zealand,NZL,208000.0,25,1802,1698,104428,5031415,48,-41.82945354,171.462581
116,Nicaragua,NIC,13064.0,147,4961,2913,46884,6393824,136,12.84541134,-85.03340318
117,Niger,NER,12827.0,69,1182,1104,458075,22314743,49,17.41875816,9.385741263
118,Nigeria,NGA,398000.0,1088,56478,44430,356669,200962000,563,9.595075807999999,8.091417814
119,North Macedonia,MKD,12629.0,661,15925,13418,9928,2077132,209,41.59489483,21.68395673
120,Norway,NOR,434000.0,265,12393,10371,125023,5367580,43,68.79582817,15.41070269
121,Oman,OMN,79275.0,797,90660,84113,119499,4645249,39,20.60210016,56.09258245
122,Pakistan,PAK,315000.0,8565,411406,325778,310403,220996520,712,29.94852399,69.34107608
123,Panama,PAN,65128.0,2187,102832,75592,28640,4158783,145,8.514476417000001,-80.12122071
124,Papua New Guinea,PNG,23412.0,6,511,232,178704,8935000,50,-6.470285222,145.2312126
125,Paraguay,PRY,40385.0,552,29298,15261,157048,7052983,44,-23.2273143,-58.39839915
126,Peru,PER,222000.0,34795,869765,629533,496225,32162184,65,-9.15437178,-74.37813777
127,Philippines,PHL,347000.0,4663,269407,207352,115831,109174902,943,11.76398714,122.8748318
128,Poland,POL,587000.0,2227,75134,61548,120728,38386000,318,52.12483719,19.39435763
129,Portugal,PRT,241000.0,1875,65021,44362,35556,10276617,289,39.58793157,-8.586797731
130,Qatar,QAT,191000.0,208,122214,119144,4468,2740479,613,25.31318845,51.18653078
131,Romania,ROU,242000.0,4236,105298,43244,92043,19405156,211,45.853429299999995,24.97308781
132,Russian Federation,RUS,1670000.0,23416,1475716,1053576,6612093,146877088,22,61.98434174,96.69345577
133,Rwanda,RWA,9628.0,22,4624,2767,10169,12374397,1217,-1.9927731990000002,29.91885619
134,San Marino,SMR,1638.0,42,723,663,24,34641,1471,43.93546619,12.44143074
135,Sao Tome and Principe,STP,422.0,15,907,871,386,201784,522,0.44194241,6.724200099
136,Saudi Arabia,SAU,787000.0,4338,326930,305022,830000,34218169,41,24.121972600000003,44.53724369
137,Senegal,SEN,23236.0,298,14529,10692,75955,16209125,213,14.36786113,-14.47128613
138,Serbia,SRB,50597.0,735,32511,0,29913,6901188,231,44.22130001,20.79029371
139,Seychelles,SYC,1586.0,0,140,136,176,96762,551,-6.532949456,51.97545085
140,Sierra Leone,SLE,4085.0,72,2126,1640,27699,7901454,285,8.563421594,-11.79471789
141,Singapore,SGP,373000.0,27,57488,56884,279,5703600,20446,1.358612283,103.8122452
142,Slovak Republic,SVK,106000.0,38,5768,3214,18933,5450421,288,48.70505347,19.48060523
143,Slovenia,SVN,54034.0,135,3831,2789,7827,2084301,266,46.11618344,14.807725099999999
144,South Africa,ZAF,368000.0,15641,651521,583126,471359,58775022,125,-29.00102469,25.08731026
145,Spain,ESP,1420000.0,57108,831858,291199,195364,46934632,240,40.22743287,-3.652265407
146,Sri Lanka,LKA,88426.0,13,3271,3016,25332,21803000,861,7.615960537,80.70294894
147,St. Kitts and Nevis,KNA,1011.0,0,17,17,104,56345,541,17.27332188,-62.70046189
148,Saint Lucia,LCA,2066.0,0,27,26,238,180454,757,13.90269999,-60.97053956
149,St. Vincent and the Grenadines,VCT,811.0,0,64,62,150,110520,736,13.21709966,-61.20269484
150,Sudan,SDN,26079.0,836,13535,6759,710251,40782742,57,15.98681534,29.93976562
151,Suriname,SUR,3458.0,95,4625,3996,63251,568301,9.0,4.131057786,-55.91115516
152,Sweden,SWE,555000.0,10413,129228,0,173860,10343403,59,62.777378399999996,16.75428435
153,Switzerland,CHE,705000.0,2028,47751,39900,15940,8586550,539,46.79908592,8.215912662000001
154,Tajikistan,TJK,7523.0,73,9129,7896,55251,9127000,165,38.52989991,71.01586647
155,Tanzania,TZA,58001.0,21,509,183,364900,55890747,153,-6.27504483,34.81346762
156,Thailand,THA,507000.0,58,3490,3316,198117,66553705,336,15.11444327,101.0034557
157,Timor-Leste,TLS,1569.0,0,27,26,5760,1167242,203,-8.823321964,125.85227579999999
158,Togo,TGO,5356.0,40,1595,1219,21853,7538000,345,8.52650738,0.962524956
159,Trinidad and Tobago,TTO,23808.0,56,3223,798,1990,1363985,685,10.46822727,-61.25887992
160,Tunisia,TUN,39770.0,123,7623,2262,63170,11722038,186,34.11949458,9.554885106
161,Turkey,TUR,771000.0,7186,294620,261260,302535,83154997,275,39.06103079,35.16726701
162,Uganda,UGA,32773.0,58,5123,2333,93263,40006700,429,1.275757756,32.36699691
163,Ukraine,UKR,131000.0,4034,187350,82960,232820,41902416,180,48.99721911,31.38605972
164,United Arab Emirates,ARE,422000.0,401,80940,70635,32278,9770529,303,23.90822345,54.30372993
165,United Kingdom,GBR,2860000.0,82881,666813,2184,93628,67886004,725,54.14549031,-2.885942736
166,United States,USA,20500000.0,221417,6881956,2495127,3796742,330318687,87,45.68753334,-112.49433390000002
167,Uruguay,URY,59597.0,45,1827,1545,68037,3518553,52,-32.79839565,-56.01714166
168,Uzbekistan,UZB,50393.0,402,48429,44942,172742,32653900,189,41.75547351,63.1405371
169,Vietnam,VNM,245000.0,35,1063,931,127882,96208984,752,16.64282262,106.3011325
170,Yemen,YEM,27591.0,583,2016,1219,175676,28915284,165,15.90524924,47.59060086
171,Zambia,ZMB,27005.0,324,13819,12590,290585,16405229,56,-13.46013107,27.77430262
172,Zimbabwe,ZWE,24312.0,224,7576,5783,150872,15159624,100,-19.00276064,29.85164621
