,Country Name,Country Code,2018 GDP USD,JH Deaths,JH Confirmed,JH Recovered,Area (mi2),Population,Population Density (mi2),Lat,Lng
152,Sweden,SWE,555000000000.0,10426.0,129768.0,0.0,173860.0,10.343403,59.0,62.777378399999996,16.75428435
153,Switzerland,CHE,705000000000.0,2042.0,48795.0,39900.0,15940.0,8.58655,539.0,46.79908592,8.215912662000001
154,Tajikistan,TJK,7522947810.0,73.0,9214.0,7988.0,55251.0,9.127,165.0,38.52989991,71.01586647
155,Tanzania,TZA,58001200572.0,21.0,509.0,183.0,364900.0,55.890747,153.0,-6.27504483,34.81346762
156,Thailand,THA,507000000000.0,58.0,3497.0,3328.0,198117.0,66.554092,336.0,15.11444327,101.0034557
157,Timor-Leste,TLS,1568611562.0,0.0,27.0,26.0,5760.0,1.167242,203.0,-8.823321964,125.85227579999999
158,Togo,TGO,5356344850.0,41.0,1618.0,1243.0,21853.0,7.538,345.0,8.52650738,0.962524956
159,Trinidad and Tobago,TTO,23808146748.0,60.0,3434.0,1469.0,1990.0,1.363985,685.0,10.46822727,-61.25887992
160,Tunisia,TUN,39770297329.0,133.0,8570.0,2342.0,63170.0,11.722038,186.0,34.11949458,9.554885106
161,Turkey,TUR,771000000000.0,7315.0,298039.0,263745.0,302535.0,83.154997,275.0,39.06103079,35.16726701
162,Uganda,UGA,32772824209.0,60.0,5380.0,2489.0,93263.0,40.0067,429.0,1.275757756,32.36699691
163,Ukraine,UKR,131000000000.0,4173.0,194045.0,86174.0,232820.0,41.902416,180.0,48.99721911,31.38605972
164,United Arab Emirates,ARE,422000000000.0,402.0,82568.0,72117.0,32278.0,9.770529,303.0,23.90822345,54.30372993
165,United Kingdom,GBR,2860000000000.0,82922.0,674230.0,2201.0,93628.0,67.886004,725.0,54.14549031,-2.885942736
166,United States,USA,20500000000000.0,223264.0,6963098.0,2540334.0,3796742.0,330.324332,87.0,45.68753334,-112.49433390000002
167,Uruguay,URY,59596885023.0,46.0,1876.0,1582.0,68037.0,3.518553,52.0,-32.79839565,-56.01714166
168,Uzbekistan,UZB,50392607758.0,413.0,49627.0,45970.0,172742.0,32.6539,189.0,41.75547351,63.1405371
169,Vietnam,VNM,245000000000.0,35.0,1066.0,940.0,127882.0,96.208984,752.0,16.64282262,106.3011325
170,Yemen,YEM,27591261663.0,585.0,2022.0,1221.0,175676.0,28.915284,165.0,15.90524924,47.59060086
171,Zambia,ZMB,27005238896.0,326.0,13928.0,13029.0,290585.0,16.405229,56.0,-13.46013107,27.77430262
172,Zimbabwe,ZWE,24311560500.0,224.0,7633.0,5841.0,150872.0,15.159624,100.0,-19.00276064,29.85164621
